workers,n_images,mode,tasks,time_mean,time_median,time_std,time_min,time_max,time_ci95,reps,compute_median,pool_setup_median,cpu_main_median,cpu_children_median,cpu_total_median,throughput_median,throughput_mean,imbalance_median,task_count,speedup,efficiency,speedup_compute,amdahl_serial_fraction,cpu_overhead_ratio,order,strategy,chunksize,scheduling,busy_max,busy_min,busy_mean,busy_spread,busy_profile
14,1500,process/dynamic,12,1.0349453531421855,1.0439604310013237,0.053379843672637456,0.9718677739983832,1.113460494998435,0.04936989993000707,7,0.9378410050012462,0.10573896799542126,0.09628600000000631,5.006926000000021,5.1023810000000225,1436.8360672073193,1452.6603601368702,2.3243539138207074,12,2.617301028717349,0.18695007347981063,2.9134562206483396,0.3345401308267938,1.8673906106567084,sorted,dynamic(128),128,dynamic,0.9352006270019046,0.17519711299974006,0.4023486360838433,0.7600035140021646,0.935;0.685;0.632;0.451;0.430;0.368;0.349;0.271;0.178;0.178;0.176;0.175
1,1500,sequential,1,2.822310265856816,2.822920921000332,0.02216261820164184,2.7869603370018012,2.8595406279964664,0.020497741610338984,7,2.822920921000332,0.0,2.8213010000000054,0.0,2.8213010000000054,531.3645128494989,531.5075573667538,1.0,1,1.0,1.0,1.0,nan,0.9994261543112045,shuffled,sequential,-,,,,,,
4,1500,process/static,4,0.9748205435722151,0.9700315959998989,0.01725813164937854,0.9571942540023883,1.0084437240002444,0.015961684671352058,7,0.9023180560034234,0.06771353999647545,0.049992000000003145,3.621174999999994,3.670470999999992,1546.341383296711,1539.1513276938556,1.019068264877256,4,2.9101329612779194,0.7275332403194799,3.128520926981895,0.12483588129520722,1.3002386898954725,shuffled,static,-,static,0.9010611989979225,0.8701995329975034,0.8842010197486161,0.030861666000419063,0.901;0.884;0.881;0.870
4,1500,process/dynamic,1500,1.010203581285688,1.0014351659992826,0.015631827102973957,0.9942122579996067,1.0350827399997797,0.01445754964233048,7,0.9336454149997735,0.06905651900160592,0.17200100000000873,3.812952999999993,3.9899699999999854,1497.8503361255785,1485.151126456384,1.000836240243056,1500,2.8188753669175166,0.7047188417293792,3.023547136469381,0.13966854145028074,1.4134189768894048,shuffled,dynamic(1),1,dynamic,0.9097828329577169,0.908057522989111,0.9090553699907105,0.0017253099686058704,0.910;0.910;0.909;0.908
4,1500,process/dynamic,188,0.9964690712856411,0.9901728210024885,0.021218249751576775,0.9701634779994492,1.0288339059989084,0.01962431500079896,7,0.9182593789992097,0.06962742299947422,0.08244899999999689,3.7327779999999393,3.8178609999999367,1514.887066362156,1505.8973053797429,1.0067106975944107,188,2.8509375950576987,0.7127343987644247,3.0742086447044734,0.134349065483379,1.3524505669280447,shuffled,dynamic(8),8,dynamic,0.9133937320002588,0.8971479609936068,0.9062444839964883,0.01624577100665192,0.913;0.909;0.906;0.897
4,1500,process/dynamic,47,1.0188742798569106,1.0048043869974208,0.021743707019258464,1.0001958010034286,1.0555331780014967,0.020110299427468194,7,0.9368961539985321,0.0679082329988887,0.062071000000003096,3.7140150000000176,3.769357000000028,1492.8278771575967,1472.7800905290712,1.0315110218198889,47,2.809423363920462,0.7023558409801155,3.0130563659083553,0.1412599054274879,1.3352683640405756,shuffled,dynamic(32),32,dynamic,0.9344406780110148,0.8883713249961147,0.904677895498935,0.046069353014900116,0.934;0.907;0.889;0.888
4,1500,process/dynamic,12,1.0174910675725966,1.010410242000944,0.013026695060655649,1.0023714480012131,1.0351821740005107,0.012048117553647951,7,0.9443204990020604,0.06853389800016885,0.05260700000000895,3.7466320000000906,3.799465000000083,1484.5455218560608,1474.4208107098498,1.031786364486473,12,2.7938364078832194,0.6984591019708049,2.989367406493389,0.14390768535020074,1.3459339125425103,shuffled,dynamic(128),128,dynamic,0.9427252839996072,0.8647171220000018,0.912975216750965,0.07800816199960536,0.943;0.926;0.919;0.865
8,1500,process/static,8,0.864808761857213,0.8579587880012696,0.02613158423704457,0.8316637089992582,0.9047377179995237,0.02416855520797926,7,0.744510499000171,0.11355040799753624,0.09630099999999686,4.766192000000046,4.861983000000052,1748.3357254192265,1735.8349796270138,1.2900747362377765,8,3.2902756641454842,0.41128445801818553,3.791646893887098,0.2044867454714218,1.7223234855183818,shuffled,static,-,static,0.7421899690016289,0.4528752229998645,0.5753077307490457,0.28931474600176443,0.742;0.701;0.597;0.561;0.545;0.514;0.490;0.453
8,1500,process/dynamic,1500,0.7673329957142414,0.7659334359996137,0.00888502417091409,0.7572398150005029,0.7844637409980351,0.008217572851727485,7,0.646546287000092,0.11871141199662816,0.275503999999998,5.3482680000000755,5.618068000000065,1958.394724004132,1955.0451475888963,1.0070805881346276,1500,3.6855956253119566,0.4606994531639946,4.366154408060084,0.1672303596914877,1.9901613106502618,shuffled,dynamic(1),1,dynamic,0.6345108039968181,0.6279218250056147,0.6309110367405992,0.006588978991203476,0.635;0.634;0.633;0.630;0.630;0.629;0.629;0.628
8,1500,process/dynamic,188,0.7738054720004064,0.7639981789980084,0.024120607172526932,0.7583658790026675,0.8255357699999877,0.022308644619899603,7,0.6422240840001905,0.11916458700216026,0.14206800000000896,5.178057000000081,5.32012500000009,1963.3554650186022,1940.0149094242825,1.0252391158650478,188,3.6949314783742317,0.46186643479677897,4.395538864592774,0.1664468725342331,1.884617085948992,shuffled,dynamic(8),8,dynamic,0.6394478879919916,0.6026083610013302,0.6165812136232489,0.0368395269906614,0.639;0.628;0.623;0.615;0.614;0.606;0.605;0.603
8,1500,process/dynamic,47,0.7803571281432856,0.7726803599980485,0.016222601883946895,0.7659794489991327,0.8077872009998828,0.015003944869650274,7,0.653265064000152,0.1185588230000576,0.11087399999999548,5.127233000000047,5.238927000000061,1941.2943277137113,1922.8970960171625,1.0490740360220954,47,3.653413581014873,0.45667669762685914,4.321248872111236,0.1699618461552293,1.8558532621394126,shuffled,dynamic(32),32,dynamic,0.6494965060046525,0.5739317909974488,0.6211996796255335,0.07556471500720363,0.649;0.649;0.641;0.635;0.630;0.602;0.589;0.574
8,1500,process/dynamic,12,0.856648253142339,0.8533924570001545,0.014604061183470152,0.8442336269981752,0.8855334899999434,0.013506990459194764,7,0.7355987750015629,0.1186557469991385,0.10014400000000023,4.884441000000038,4.983140000000034,1757.690717437087,1751.438795662901,1.2411246092252535,12,3.307881265934157,0.4134851582417696,3.837582411681333,0.20263807023491356,1.7652425057072467,shuffled,dynamic(128),128,dynamic,0.7331982310024614,0.3844396009990305,0.5850788911252494,0.3487586300034309,0.733;0.696;0.692;0.613;0.598;0.575;0.390;0.384
14,1500,process/static,14,0.8175059090005691,0.8181601350006531,0.02329161831211482,0.7791777290003665,0.8577022259996738,0.021541930177410223,7,0.6285213669980294,0.19077610499880393,0.1717040000000054,6.79367400000001,6.965409000000008,1833.3819210084132,1836.1248331692952,1.3447976804934918,14,3.4503281206656182,0.24645200861897273,4.491368264031002,0.23519885445871955,2.467447440055013,shuffled,static,-,static,0.62584332500046,0.3142666690000624,0.46317581942795577,0.31157665600039763,0.626;0.594;0.570;0.557;0.556;0.546;0.510;0.464;0.377;0.357;0.349;0.341;0.325;0.314
14,1500,process/dynamic,1500,0.7546155632860193,0.7536570019983628,0.0028190150092859572,0.7521266969997669,0.7602142159994401,0.0026072479672880084,7,0.5635881820016948,0.19075551200148766,0.3644740000000013,8.051233000000138,8.41690200000015,1990.2953147422074,1987.7907889969906,1.0257224347083125,1500,3.745630855303145,0.2675450610930818,5.008836258727375,0.21059139487767353,2.9816286872880347,shuffled,dynamic(1),1,dynamic,0.5516028609963541,0.5293791369876999,0.5368659286427179,0.022223724008654244,0.552;0.547;0.539;0.538;0.537;0.536;0.536;0.536;0.534;0.534;0.533;0.533;0.533;0.529
14,1500,process/dynamic,188,0.7616919328569826,0.7533524199970998,0.033708363804103886,0.7398949729977176,0.8360865520007792,0.03117616001310885,7,0.5542085990018677,0.19535412399636698,0.21781999999998902,7.783694000000196,7.997266000000181,1991.0999954122065,1972.3833386562019,1.0360219769969827,188,3.747145221901855,0.2676532301358468,5.093607219527856,0.21047519913746154,2.8329755681453044,shuffled,dynamic(8),8,dynamic,0.557157922998158,0.5130273640024825,0.5319184626431317,0.04413055899567553,0.557;0.554;0.545;0.544;0.537;0.531;0.529;0.526;0.526;0.524;0.522;0.521;0.518;0.513
14,1500,process/dynamic,47,0.7869682387141178,0.7792942580017552,0.03073835262952619,0.7539778350001143,0.8523748989973683,0.02842925885357875,7,0.5878795780008659,0.19196060899776057,0.182218000000006,7.6826569999998355,7.863790999999836,1924.81849391045,1908.419696471874,1.1085266725905112,47,3.622406930392106,0.2587433521708647,4.8018693396357,0.2203718150140103,2.7856929825767907,shuffled,dynamic(32),32,dynamic,0.584808259998681,0.4675152630006778,0.5160108596431071,0.11729299699800322,0.585;0.566;0.553;0.528;0.527;0.524;0.520;0.518;0.507;0.506;0.484;0.470;0.469;0.468
14,1500,process/dynamic,12,0.8637068478580788,0.8653575340031239,0.039855966572365585,0.8123551080025209,0.932638243000838,0.03686194911619856,7,0.6773688579996815,0.1914588889994775,0.17242500000000405,6.335747000000083,6.507611000000097,1733.3875780349827,1739.8357110866807,1.3128752141147042,12,3.2621440388246983,0.23301028848747846,4.167479634857466,0.2532043068177944,2.3052756992193943,shuffled,dynamic(128),128,dynamic,0.6747619420020783,0.25857695900049293,0.5031536240830974,0.41618498300158535,0.675;0.645;0.631;0.597;0.563;0.538;0.459;0.452;0.427;0.403;0.389;0.259
