workers,n_images,mode,tasks,time_mean,time_median,time_std,time_min,time_max,time_ci95,reps,compute_median,pool_setup_median,cpu_main_median,cpu_children_median,cpu_total_median,throughput_median,throughput_mean,imbalance_median,task_count,speedup,efficiency,speedup_compute,amdahl_serial_fraction,cpu_overhead_ratio,section,image_size,working_set_kb,backend,megapixels,ns_per_pixel,aggregate_working_set_mb
4,2667,process/dynamic,167,1.9053734919994896,1.9065595739994023,0.05537463881350657,1.8348852879971673,1.9706288450033753,0.06874567271348024,5,1.7760370150026574,0.13052255899674492,0.12866900000000214,7.224688000000128,7.3533570000001305,1398.8547939288449,1400.674559612361,1.006590375511166,167,2.9951638395534093,0.7487909598883523,3.2152811263276617,0.11182873617540467,1.2876999745764235,cache,384,432.0,process,393.265152,4.848025725908719,1.6875
14,2667,process/dynamic,167,1.4081777129998954,1.390243340003508,0.05642321050326019,1.358348923997255,1.5051098000003549,0.0700474377045476,5,1.0068683909994434,0.38337494900406455,0.3718200000000138,14.48147700000004,14.859474999999975,1918.369197145926,1896.2737198623963,1.0214735711074963,167,4.107524294259848,0.293394592447132,5.67150418569503,0.18525993156893544,2.6021510419960068,cache,384,432.0,process,393.265152,3.535129753890596,5.90625
1,1500,sequential,1,5.019558912600769,5.038328595997882,0.05645051422671509,4.940488461001223,5.07549376300085,0.07008133431997857,5,5.038328595997882,0.0,5.036093999999991,0.0,5.036093999999991,297.71777910466216,298.86141727201766,1.0,1,1.0,1.0,1.0,nan,0.9995564806948746,cache,512,768.0,sequential,393.216,12.813132212315578,
4,1500,process/dynamic,94,1.7045826700006728,1.7034753950028971,0.02537333136674802,1.6675098730011086,1.7362681619997602,0.03150010133093063,5,1.5753273230002378,0.12814807200265932,0.10999000000003889,6.363485999999966,6.473038999999915,880.552783092854,880.1374508241594,1.014561236550191,94,2.957676178228165,0.7394190445570412,3.19827411258398,0.117471032319733,1.2847591967585585,cache,512,768.0,process,393.216,4.332161954251346,3.0
14,1500,process/dynamic,94,1.2875462248004623,1.2794102450025093,0.03552303921399442,1.2551222299989604,1.3391652479986078,0.0441006077857746,5,0.918967554000119,0.36044269100239035,0.3358299999999872,12.696672999999919,13.032502999999906,1172.4151857147729,1165.7078930412295,1.069563410187386,94,3.938008637712605,0.28128633126518604,5.482596827349173,0.19654587045551708,2.5866718995565456,cache,512,768.0,process,393.216,3.253708508815789,10.5
1,667,sequential,1,4.759886071199435,4.768422691002343,0.030395865009200867,4.722416603999591,4.790002117999393,0.037735400763570716,5,4.768422691002343,0.0,4.7667489999999475,0.0,4.7667489999999475,139.87853913592417,140.13398304326407,1.0,1,1.0,1.0,1.0,nan,0.9996490053187707,cache,768,1728.0,sequential,393.412608,12.120665667640074,
4,667,process/dynamic,42,1.7049775410006986,1.7013442690004013,0.03559790204453821,1.6552912320003088,1.7491134590018191,0.044193547365286814,5,1.5736390829988522,0.1280025520027266,0.09986300000002757,6.215458000000126,6.315321000000154,392.0429346095165,391.3444705766301,1.0429810694427124,42,2.8027382687243874,0.7006845671810968,3.0301882703086247,0.1423919058771672,1.3244046111760799,cache,768,1728.0,process,393.412608,4.324579930596432,6.75
14,667,process/dynamic,42,1.3269532184000128,1.3112025880000147,0.03472109264404548,1.2959020080015762,1.3833323719991313,0.04310501923454128,5,0.9534583830027259,0.3588711650008918,0.3256629999999632,12.674204999999802,12.996973999999796,508.693321767599,502.9249121659025,1.1031514791957524,42,3.636678828002961,0.25976277342878296,5.001185973094234,0.21920510152111536,2.7256337875675567,cache,768,1728.0,process,393.412608,3.332894170997221,23.625
1,375,sequential,1,4.7604101323995565,4.763480770998285,0.03765838546501891,4.707279096997809,4.810820837999927,0.04675156529354766,5,4.763480770998285,0.0,4.7609359999999015,0.0,4.7609359999999015,78.72394537270506,78.77867262416075,1.0,1,1.0,1.0,1.0,nan,0.9994657748984992,cache,1024,3072.0,sequential,393.216,12.114158047989617,
4,375,process/dynamic,24,1.7055814638013544,1.7083691309999267,0.03870281279952931,1.6710094980007852,1.7664844970022386,0.04804818521287708,5,1.579339660002006,0.1248895810022077,0.09593400000005659,6.2582850000001145,6.358863000000156,219.50759539919133,219.9556929204097,1.0303844844534678,24,2.788320559392319,0.6970801398480797,3.016121795480166,0.14485176229423588,1.3349194225187406,cache,1024,3072.0,process,393.216,4.3446073684690525,12.0
14,375,process/dynamic,24,1.4293948229998932,1.4269291689997772,0.027695499786537778,1.401867193999351,1.469156577000831,0.03438299201144751,5,1.0622743460007769,0.3570713020017138,0.3194459999999708,12.83344800000009,13.15289400000006,262.8021124992915,262.4270503496517,1.2038523336894411,24,3.3382741585816085,0.2384481541844006,4.484228381238533,0.24567567493637138,2.761193889997293,cache,1024,3072.0,process,393.216,3.628868532816002,42.0
