section,start_method,workers,parent_rss_gb,parent_dataset,create_s,destroy_s,total_s,per_worker_ms,n_images,mode,tasks,time_mean,time_median,time_std,time_min,time_max,time_ci95,reps,compute_median,pool_setup_median,cpu_main_median,cpu_children_median,cpu_total_median,throughput_median,throughput_mean,imbalance_median,task_count,speedup,efficiency,speedup_compute,amdahl_serial_fraction,cpu_overhead_ratio,level,return_mode,backend,pool,cv2_threads
B_ipc,,20,,,,,,,1500,process/dynamic,94,1.9551069186010863,1.9550858500006143,0.1422347957156187,1.7398193980006909,2.1343361210019793,0.17657951228658234,5,1.7688580239992007,0.22938797399910982,1.2208089999999743,30.15294199999994,31.368928000000068,767.229735716991,770.5897141949905,1.095570280785883,94,4.597239252178112,0.22986196260890562,5.081242976573057,0.17633879244425435,3.490090902964231,heavy,array,process,,
C_persistent,,1,,,,,,,3000,sequential,1,0.9643633774001501,0.9578625479989569,0.011082945704148561,0.9547707029996673,0.979179619000206,0.01375908853590266,5,0.9578625479989569,0.0,0.9569199999999967,0.0,0.9569199999999967,3131.9733778789177,3111.18767682401,1.0,1,1.0,1.0,1.0,nan,0.9990159882532945,light,,,sequential,
C_persistent,,8,,,,,,,3000,process/dynamic,188,0.22935947139994822,0.2283688399984385,0.0024792837223543817,0.22672361999866553,0.2323811750029563,0.0030779438203624157,5,0.1849265060009202,0.043313450001733145,0.06330900000000383,1.5195169999999507,1.5859829999999704,13136.643335494076,13081.1241573193,1.016014756539446,188,4.194366219163291,0.5242957773954113,5.17969310464445,0.12961719131893315,1.6557521779228157,light,,,fresh,
C_persistent,,8,,,,,,,3000,process-persistent/dynamic,188,0.19202630779909668,0.19107167799666058,0.007740804027353604,0.18424201699963305,0.2005858310003532,0.009609936815946208,5,0.19107167799666058,0.0,0.026360999999980095,0.0,0.026360999999980095,15700.914083417596,15643.121539564847,1.0159445420092708,188,5.0131058566183615,0.6266382320772952,5.0131058566183615,0.08511672714369294,0.02752065007140127,light,,,persistent,
C_persistent,,14,,,,,,,3000,process/dynamic,188,0.22469041160002234,0.22526786099842866,0.001776480129493982,0.2226624390023062,0.22701395900003263,0.0022054377993415706,5,0.15713290799976676,0.06785333800144144,0.08647699999997371,2.212917999999945,2.2980809999999394,13317.478963503481,13352.372083252896,1.0438364780581264,188,4.252104777634651,0.3037217698310465,6.095874888284882,0.17634515921905894,2.3991761707363906,light,,,fresh,
C_persistent,,14,,,,,,,3000,process-persistent/dynamic,188,0.16117635199989308,0.1596089150007174,0.004264402295628195,0.15755120099856867,0.167636988000595,0.005294105944802378,5,0.1596089150007174,0.0,0.02853400000000761,0.0,0.02853400000000761,18795.942569915445,18623.41833120435,1.033609547391885,188,6.0013098140204235,0.42866498671574454,6.0013098140204235,0.10252492864516419,0.02978924278814029,light,,,persistent,
C_persistent,,20,,,,,,,3000,process/dynamic,188,0.2584510446002241,0.25038305400084937,0.02248274582845401,0.2444560840012855,0.2984000059987011,0.02791154072586516,5,0.15200044800076284,0.09775459600132308,0.15909500000003618,2.9723509999998896,3.1210030000001154,11981.6415370899,11671.140820927378,1.0472926703374328,188,3.8255885639756895,0.19127942819878446,6.301708715977927,0.22252388049216834,3.2582994360935325,light,,,fresh,
C_persistent,,20,,,,,,,3000,process-persistent/dynamic,188,0.15499493880051887,0.1547258470018278,0.0028196957564758937,0.15233073299896205,0.1589826550007274,0.0035005534262554936,5,0.1547258470018278,0.0,0.053588000000019065,0.0,0.053588000000019065,19389.132831598334,19360.565179374797,1.0514143467621424,188,6.190708059188337,0.30953540295941684,6.190708059188337,0.11740253813315481,0.05594539645794505,light,,,persistent,
C_persistent,,1,,,,,,,3000,sequential,1,3.7072046708002744,3.7062123869982315,0.04389807964863837,3.650205673002347,3.769097086002148,0.054497926865746,5,3.7062123869982315,0.0,3.702875000000006,0.0,3.702875000000006,809.4517223363409,809.3257042166271,1.0,1,1.0,1.0,1.0,nan,0.9990995154487278,medium,,,sequential,
C_persistent,,8,,,,,,,3000,process/dynamic,188,0.7605257923998578,0.7622161569997843,0.006945327869777624,0.7527925819995289,0.7700770550000016,0.008622381054828416,5,0.7176465100019414,0.0435016640003596,0.07540599999998676,5.733005999999932,5.8085829999999135,3935.8913773338563,3944.9021928244574,1.0152184764193897,188,4.862416458851423,0.6078020573564279,5.164398259232398,0.09218178326707134,1.5672558378945067,medium,,,fresh,
C_persistent,,8,,,,,,,3000,process-persistent/dynamic,188,0.75477695199952,0.741976364999573,0.03230913247996289,0.7319881859984889,0.8094139390013879,0.040110655251483926,5,0.741976364999573,0.0,0.03554700000000821,0.0,0.03554700000000821,4043.255474858322,3980.2769891757207,1.0139617776173298,188,4.995054508239443,0.6243818135299304,4.995054508239443,0.08594058917400453,0.00959119345796552,medium,,,persistent,
C_persistent,,14,,,,,,,3000,process/dynamic,188,0.7198711483993975,0.6979538979976496,0.03763898263531341,0.6904153340001358,0.7726160019992676,0.04672747736070999,5,0.6307996930008812,0.06778175900035421,0.09914299999999798,8.708930999999893,8.805686999999864,4298.27816508606,4176.315847218213,1.0264774046509697,188,5.310110592735327,0.3792936137668091,5.875418818558388,0.12588307148302166,2.3759261695015392,medium,,,fresh,
C_persistent,,14,,,,,,,3000,process-persistent/dynamic,188,0.6778291815993726,0.6472322869994969,0.04995284168784424,0.6398890519994893,0.7568218129999877,0.06201470166417095,5,0.6472322869994969,0.0,0.041593000000005986,0.0,0.041593000000005986,4635.121053536583,4444.182337853035,1.0283764524393526,188,5.726247687951193,0.4090176919965138,5.726247687951193,0.11114477057661648,0.011222508495713426,medium,,,persistent,
C_persistent,,20,,,,,,,3000,process/dynamic,188,0.6981198012013919,0.6983307150003384,0.018441365115392964,0.6795022000005702,0.7267999000032432,0.022894308256930295,5,0.6027494200025103,0.09573075699881883,0.15000899999998296,11.132994000000053,11.282200000000046,4295.958828044026,4299.621284484068,1.0565715364873973,188,5.307245274177058,0.2653622637088529,6.148844385421053,0.14570701754996224,3.044132073914368,medium,,,fresh,
C_persistent,,20,,,,,,,3000,process-persistent/dynamic,188,0.6712199549998331,0.6647527710010763,0.013673939639140702,0.6610440279982868,0.6943625839994638,0.016975716668818558,5,0.6647527710010763,0.0,0.06575600000002169,0.0,0.06575600000002169,4512.9559903634345,4470.927788872547,1.046869130703954,188,5.575324464487611,0.27876622322438055,5.575324464487611,0.1361702720753251,0.01774210248465533,medium,,,persistent,
C_persistent,,1,,,,,,,3000,sequential,1,18.03597464419945,18.067251372998726,0.11619369952521896,17.876405318998877,18.17482985300012,0.14425040433818304,5,18.067251372998726,0.0,18.059184999999957,0.0,18.059184999999957,166.04628662461968,166.33976404466353,1.0,1,1.0,1.0,1.0,nan,0.9995535362390084,heavy,,,sequential,
C_persistent,,8,,,,,,,3000,process/dynamic,188,3.83981586039954,3.8200389009980427,0.11852391582747898,3.672976521000237,3.9562986939999973,0.1471432861826369,5,3.7650627280017943,0.04604521999863209,0.07987699999995357,29.936631999999918,30.027192999999897,785.3323166987134,781.8885760620251,1.0156904665082016,188,4.729598792378367,0.5911998490472958,4.7986587948794766,0.09878219972278789,1.661967965136919,heavy,,,fresh,
C_persistent,,8,,,,,,,3000,process-persistent/dynamic,188,4.176942089200748,4.183179543000733,0.12423666061994065,3.977046716001496,4.293364432000089,0.1542354585599747,5,4.183179543000733,0.0,0.047125999999991564,0.0,0.047125999999991564,717.1578387113647,718.7492161865854,1.0170666063385214,188,4.319023648704901,0.5398779560881126,4.319023648704901,0.12175292548546489,0.0026083657678234754,heavy,,,persistent,
C_persistent,,14,,,,,,,3000,process/dynamic,188,3.595272446200397,3.6039987379990635,0.1531108833823741,3.3793893789988942,3.756038499999704,0.19008179382127505,5,3.5296715869990294,0.07432715100003406,0.11816299999998137,47.62730799999963,47.74191999999965,832.4087265539935,835.6590759047427,1.0269786248640789,188,5.01311256924292,0.35807946923163714,5.118677737483143,0.1378981667749703,2.6424561774432016,heavy,,,fresh,
C_persistent,,14,,,,,,,3000,process-persistent/dynamic,188,3.6545421026006806,3.669970728999033,0.044636041522664656,3.595594301001256,3.705179594002402,0.0554140806602239,5,3.669970728999033,0.0,0.050789000000008855,0.0,0.050789000000008855,817.4452118363995,820.9945619831284,1.0226729759424427,188,4.922996041967474,0.3516425744262482,4.922996041967474,0.14183051697432641,0.0028111082837930933,heavy,,,persistent,
C_persistent,,20,,,,,,,3000,process/dynamic,188,3.3735126243991544,3.349179999997432,0.14599274835544823,3.176116524999088,3.579903194000508,0.18124487873927453,5,3.247114050998789,0.10206594899864285,0.1590089999999691,62.860281000000214,63.01381900000018,895.741644224049,890.612393430134,1.0324046248085514,188,5.394529817153028,0.26972649085765144,5.564095097750376,0.14249786043404117,3.4877368836619786,heavy,,,fresh,
C_persistent,,20,,,,,,,3000,process-persistent/dynamic,188,3.3948205847984356,3.410460148999846,0.05516758362123472,3.3311460359982448,3.450589255997329,0.06848862095140039,5,3.410460148999846,0.0,0.08347500000002128,0.0,0.08347500000002128,879.6466954407259,883.8864887374008,1.0381521462075636,188,5.297599321985082,0.2648799660992541,5.297599321985082,0.1460681555869023,0.004620237925331221,heavy,,,persistent,
D_backend,,1,,,,,,,1500,sequential,1,0.5113364473996626,0.5021258380002109,0.01770564662070534,0.49452074199871277,0.5324041120002221,0.021980939539250944,5,0.5021258380002109,0.0,0.5018010000000004,0.0,0.5018010000000004,2987.298972651891,2936.275442352495,1.0,1,1.0,1.0,1.0,nan,0.9993530745171285,light,,sequential,,
D_backend,,2,,,,,,,1500,thread/dynamic,94,0.3104374900001858,0.305663736002316,0.016297622246703482,0.29692892800085247,0.3387321490008617,0.02023292664270226,5,0.30534365700077615,1.5006000467110425e-05,0.5267146820000335,0.0,0.5267146820000335,4907.353484643119,4841.972210925085,nan,94,1.6427393205597878,0.8213696602798939,1.6444613355729036,0.21747861938221003,1.0489694856129117,light,,thread,,
D_backend,,4,,,,,,,1500,thread/dynamic,94,0.33810958979956923,0.33904237499882584,0.03137177670958053,0.3053952499976731,0.3824773659980565,0.03894696092520905,5,0.3387877080022008,1.6477999452035874e-05,0.6059457079999788,0.0,0.6059457079999788,4424.225732860663,4466.509001766605,nan,94,1.481012035743172,0.370253008935793,1.4821253136992474,0.5669519453506218,1.206760660660773,light,,thread,,
D_backend,,8,,,,,,,1500,thread/dynamic,94,0.786278749799385,0.6560759210005926,0.36655454300434875,0.5224407899986545,1.4045707669974945,0.4550646141437208,5,0.6556166429982113,1.4912999176885933e-05,1.030214624999985,0.0,1.030214624999985,2286.320762561022,2179.7721201045,nan,94,0.7653471525588231,0.09566839406985289,0.765883299886853,1.3503961331708292,2.0517060605822723,light,,thread,,
D_backend,,14,,,,,,,1500,thread/dynamic,94,1.7084251733998825,2.01691222899899,0.7192068315745629,0.6251025669989758,2.345664985001349,0.892870066805102,5,2.0159745089986245,1.6219000826822594e-05,2.9051375280000116,0.0,2.9051375280000116,743.7110938359783,1116.0597806725343,nan,94,0.24895770414829607,0.01778269315344972,0.2490735055224617,4.248803980238362,5.785676235204592,light,,thread,,
D_backend,,20,,,,,,,1500,thread/dynamic,94,1.6879826046002564,2.0390682949982875,0.711613435026189,0.6230633340019267,2.375660487999994,0.8834431312063661,5,2.036372068003402,1.3531996955862269e-05,2.96707483900002,0.0,2.96707483900002,735.6300932535758,1126.5665141741013,nan,94,0.24625258468875005,0.012312629234437503,0.24657863162134674,4.221969559870475,5.909026412217356,light,,thread,,
