workers,n_images,mode,tasks,time_mean,time_median,time_std,time_min,time_max,time_ci95,reps,compute_median,pool_setup_median,cpu_main_median,cpu_children_median,cpu_total_median,throughput_median,throughput_mean,imbalance_median,task_count,speedup,efficiency,speedup_compute,amdahl_serial_fraction,cpu_overhead_ratio,level,backend,per_worker,weak_efficiency,scaled_speedup,chunksize,scheduling
4,2000,process/dynamic,125,0.8528920237149578,0.8522219609985768,0.014983599287099173,0.8349145560023317,0.8729831730015576,0.013858017305783196,7,0.8345884199989086,0.01721917599934386,0.03855000000000075,3.3118809999999996,3.351071000000001,2346.806455980709,2345.5797849275764,1.012212333386288,125,0.8049047177787068,0.2012261794446767,0.8219110888254028,1.3231774360567747,4.885245969829112,medium,process,500,0.8049047177787068,3.219618871114827,16,dynamic
8,4000,process/dynamic,250,1.122547544000554,1.122297776000778,0.02227384975662405,1.098580616999243,1.1653015060001053,0.02060061734695988,7,1.0940664029985783,0.02823137300219969,0.08176800000000028,8.641749000000004,8.722156000000005,3564.116480969688,3564.506984843542,1.015807154297109,250,0.6112080872571382,0.07640101090714227,0.6269797474105115,1.7269760067430806,12.715301301351365,medium,process,500,0.6112080872571382,4.889664698057105,16,dynamic
14,7000,process/dynamic,438,1.7264164745715138,1.724874109000666,0.02778123553405583,1.6858938189980108,1.7680508750017907,0.025694283157883316,7,1.68018526099695,0.04457481699864729,0.1501020000000004,23.272951999999975,23.426389999999973,4058.2671880068765,4055.5412532565015,1.0144838565438719,438,0.3976855316123889,0.02840610940088492,0.4082630010665358,2.6310534304363076,34.15137349675517,medium,process,500,0.3976855316123889,5.567597442573445,16,dynamic
20,10000,process/dynamic,625,2.312644642285574,2.3096576210009516,0.038453166402940706,2.260866705000808,2.366367505001108,0.03556452860648276,7,2.2472383700005594,0.06241925100039225,0.28547700000000376,42.15812400000004,42.43239600000004,4329.646051896745,4325.080239310572,1.013809409763748,625,0.2969953082072388,0.01484976541036194,0.30524464434193727,3.491638481416205,61.858639088575885,medium,process,500,0.2969953082072388,5.939906164144776,16,dynamic
1,500,sequential,1,3.6642140341427876,3.674832103999506,0.07638548494456651,3.546293698000227,3.7697768280013406,0.0706473359297491,7,3.674832103999506,0.0,3.6737620000000035,0.0,3.6737620000000035,136.06063783317464,136.50599008401886,1.0,1,1.0,1.0,1.0,nan,0.9997088019345597,heavy,sequential,500,1.0,1.0,,
1,500,process/dynamic,32,3.470489442571956,3.4756001370005833,0.02651120497865208,3.423612423001032,3.512020015001326,0.02451965848470401,7,3.466631380000763,0.008880149998731213,0.01130500000000012,3.469351999999958,3.480656999999958,143.8600472698497,144.07912139800632,1.0,32,1.0573230403802603,1.0573230403802603,1.0600585124798292,nan,0.9471608229969969,heavy,process,500,1.0573230403802603,1.0573230403802603,16,dynamic
2,1000,process/dynamic,63,3.6446958190005847,3.6441325949999737,0.030901866610803335,3.6085784940005396,3.6938683900007163,0.028580489511770942,7,3.6311704449981335,0.0129621500018402,0.02031799999999606,7.219540000000052,7.2343570000000454,274.41372505821437,274.3881878319496,1.0071519146390084,63,1.0084243666220198,0.5042121833110099,1.0120241282150542,0.9832920208974334,1.968622455465796,heavy,process,500,1.0084243666220198,2.0168487332440397,16,dynamic
4,2000,process/dynamic,125,4.554716736571469,4.53391348200239,0.06967403828013781,4.4699773590000405,4.6514688930001284,0.06444005941091074,7,4.515428066999448,0.018309451996174175,0.0377809999999954,17.744724000000133,17.78025800000014,441.12001870770274,439.1931720305828,1.0180369153539033,125,0.8105210032319644,0.2026302508079911,0.8138391420420684,1.3116990939778,4.83838648863685,heavy,process,500,0.8105210032319644,3.2420840129278576,16,dynamic
8,4000,process/dynamic,250,6.264931235571047,6.246926154999528,0.1086921666285133,6.148618980998435,6.490832359999331,0.10052710949350407,7,6.217729132000386,0.02973657400070806,0.09651500000000368,49.305515000000014,49.40750100000002,640.3149166088233,638.6360404494919,1.0092523571382592,250,0.5882624530559676,0.07353280663199595,0.5910247979582264,1.7999103020479477,13.444832199606433,heavy,process,500,0.5882624530559676,4.706099624447741,16,dynamic
14,7000,process/dynamic,438,9.308560089570944,9.344688144999964,0.07560980278525277,9.19564432900006,9.39105839900003,0.06992992373915399,7,9.296054061000177,0.049476659998617833,0.17395199999999988,128.87584199999992,129.05888399999992,749.0886684908228,752.038658754917,1.00833574904372,438,0.39325358395890275,0.028089541711350197,0.39531096526391385,2.66157218631557,35.11966815015538,heavy,process,500,0.39325358395890275,5.505550175424639,16,dynamic
20,10000,process/dynamic,625,12.95497586714295,12.958730561000266,0.10515204626873739,12.79226039400237,13.078752710000117,0.09725292628356133,7,12.892543613997987,0.06829943399861804,0.3173450000000031,247.09997099999964,247.41606799999965,771.6805247957956,771.9478505168447,1.0097760364793429,625,0.2835796366550777,0.014178981832753883,0.2850354603423318,3.659311885553577,67.32717604451213,heavy,process,500,0.2835796366550777,5.671592733101553,16,dynamic
