workers,n_images,mode,tasks,time_mean,time_median,time_std,time_min,time_max,time_ci95,reps,compute_median,pool_setup_median,cpu_main_median,cpu_children_median,cpu_total_median,throughput_median,throughput_mean,imbalance_median,task_count,speedup,efficiency,speedup_compute,amdahl_serial_fraction,cpu_overhead_ratio,level,backend,chunksize,scheduling,tasks_per_worker
14,1500,process/dynamic,375,0.3910775540003669,0.38191255899801035,0.016309761648357315,0.3770428850002645,0.4142504830015241,0.020247997284261524,5,0.34546036099709454,0.03651336800248828,0.09377899999999784,4.795721999999955,4.887012999999953,3927.600610818914,3840.7903327728372,1.0206185890707271,375,5.212523799226571,0.37232312851618365,5.762537552079365,0.1296799273803029,2.454886984142283,medium,process,4,dynamic,26.785714285714285
14,1500,process/dynamic,188,0.38510671279946107,0.38505267599975923,0.005231133568784331,0.37936166600047727,0.3932639059967187,0.0064942689278983095,5,0.34801930200046627,0.03626379300112603,0.06720200000000176,4.805324999999982,4.872526999999984,3895.5709010601395,3895.5950055303715,1.025990795713124,188,5.170015499390779,0.36928682138505564,5.720166357318836,0.1313786345611495,2.447610250306664,medium,process,8,dynamic,13.428571428571429
14,1500,process/dynamic,94,0.41427177139994453,0.4027957750004134,0.022448483263435383,0.3949136589981208,0.449770797000383,0.027869004952602108,5,0.36741694300144445,0.03537883199896896,0.051065000000008354,4.798306000000025,4.850612000000027,3723.9715337095095,3629.0088100003136,1.0760587843466514,94,4.942277021149509,0.3530197872249649,5.418172299672159,0.14097710801487678,2.436601716411343,medium,process,16,dynamic,6.714285714285714
14,1500,process/dynamic,47,0.4130935868000961,0.4116817740032275,0.005506758322850441,0.4088460649982153,0.4222047659968666,0.006836447396972868,5,0.37628707800104166,0.03539469600218581,0.04116599999999693,4.697911999999974,4.739505999999949,3643.59098391429,3631.648618461955,1.1349337071235368,47,4.8355997974907785,0.34539998553505563,5.290450880152574,0.14578416148029524,2.3807899816645137,medium,process,32,dynamic,3.357142857142857
14,1500,process/dynamic,24,0.43759419759953744,0.43980803299928084,0.012271177162065912,0.4238179019994277,0.45417549700141535,0.015234236232828558,5,0.4049895700009074,0.03549342800033628,0.03665500000000321,4.602386000000024,4.6391820000000195,3410.5789059165563,3429.983777643658,1.2221231599255455,24,4.526357305083389,0.32331123607738493,4.915505115344552,0.16099960666922883,2.330394355175098,medium,process,64,dynamic,1.7142857142857142
14,1500,process/dynamic,12,0.45348659999945085,0.4502183080003306,0.02569416498919834,0.42554975299935904,0.49513474099876476,0.031898405025131346,5,0.41410997599814436,0.03573708300245926,0.034168000000001086,3.856681000000094,3.8912920000000923,3331.717021154321,3315.904787120378,1.3130267092830845,12,4.421695581067284,0.31583539864766313,4.807245462276841,0.16663124679251803,1.9547077288923338,medium,process,128,dynamic,0.8571428571428571
14,1500,process/dynamic,6,0.5264936873994884,0.5158633009996265,0.023089559233790708,0.5116934809993836,0.5669370779978635,0.028664878294384962,5,0.4796664560017234,0.0361968449979031,0.032811000000002366,2.7973040000000537,2.829521000000014,2907.7470661187544,2853.2066605658392,1.059187468529555,6,3.8590229216598066,0.2756444944042719,4.150234560061666,0.20214317865124368,1.4213496616966965,medium,process,256,dynamic,0.42857142857142855
14,1500,process/dynamic,3,0.8687972790008643,0.8648712280009931,0.01352769719040044,0.85326688799978,0.8876724830006424,0.016794161795805757,5,0.8310287659987807,0.034324697000556625,0.03140199999999993,2.4951490000000263,2.5263550000000308,1734.3622396446256,1726.8581366349893,1.0281756162521614,3,2.3017626654107692,0.1644116189579121,2.39549866918033,0.3909457842355043,1.269060673017017,medium,process,512,dynamic,0.21428571428571427
14,1500,process/dynamic,1,2.004599151200091,2.0104985300022236,0.03218559177085591,1.9651161599977058,2.049226525999984,0.039957283792328005,5,1.9769385420004255,0.03314665600191802,0.029722999999997057,2.03918699999997,2.0689069999999674,746.0836094211624,748.4333037629369,1.0,1,0.9901665051197274,0.07072617893712338,1.0069753109200208,1.010695087653051,1.0392714047825997,medium,process,1500,dynamic,0.07142857142857142
20,1500,process/dynamic,1500,0.3726466440006334,0.37315465999927255,0.001306388470604346,0.37050494000141043,0.37376818399934564,0.0016218354857228418,5,0.3231320860031701,0.04997589800041169,0.309905999999998,6.061248999999975,6.370552999999973,4019.780966966684,4025.3006907059607,1.0165730662495462,1500,5.334861161869268,0.26674305809346344,6.160726183598867,0.14468031859009994,3.2001117331770255,medium,process,1,dynamic,75.0
20,1500,process/dynamic,750,0.3815604147996055,0.37272820199723355,0.023961324574398448,0.36785984100060887,0.42404780099968775,0.02974714440162244,5,0.32266312100182404,0.05006508099540952,0.28094499999999556,6.095045000000027,6.377374000000032,4024.3802104653546,3942.7397463645348,1.0240986600336797,750,5.3409650580060655,0.26704825290030326,6.169680305638019,0.14445482164038337,3.203538117375099,medium,process,2,dynamic,37.5
